synonym,Cachero2010,cell_type,Dsx_Fru,cellID,side,super_class,nt_type,nt_type_score,Source of LM in Fig. 2,SexOfLMImage,JaiYu2010,Tianxiao,FlyCircuitExamples
aDT3,aDT-e (aDT-e includes aDT3+aPN1+other cells),DA1_lPN,Fru,720575940614309535,left,central,ACH,0.94,fru-F-400149,Female,aDT3,Yes (no image),fru-F-400149
aDT3,,DA1_lPN,Fru,720575940603231916,left,central,ACH,0.94,,,,,
aDT3,,DA1_lPN,Fru,720575940605102694,left,central,ACH,0.92,,,,,
aDT3,,DA1_lPN,Fru,720575940613345442,left,central,ACH,0.93,,,,,
aDT3,,DA1_lPN,Fru,720575940619385765,left,central,ACH,0.91,,,,,
aDT3,,DA1_lPN,Fru,720575940621185050,left,central,ACH,0.94,,,,,
aDT3,,DA1_lPN,Fru,720575940626034819,left,central,ACH,0.9,,,,,
aDT3,,DA1_lPN,Fru,720575940637208718,left,central,ACH,0.93,,,,,
aDT3,,DA1_lPN,Fru,720575940623543881,right,central,ACH,0.91,,,,,
aDT3,,DA1_lPN,Fru,720575940637469254,right,central,ACH,0.94,,,,,
aDT3,,DA1_lPN,Fru,720575940604407468,right,central,ACH,0.92,,,,,
aDT3,,DA1_lPN,Fru,720575940617229632,right,central,ACH,0.95,,,,,
aDT3,,DA1_lPN,Fru,720575940621239679,right,central,ACH,0.94,,,,,
aDT3,,DA1_lPN,Fru,720575940623303108,right,central,ACH,0.93,,,,,
aDT3,,DA1_lPN,Fru,720575940630066007,right,central,ACH,0.94,,,,,
aDT3,,VA1d_adPN,Fru,720575940640804853,left,central,ACH,0.96,,,,,
aDT3,,VA1d_adPN,Fru,720575940622811430,left,central,ACH,0.96,,,,,
aDT3,,VA1d_adPN,Fru,720575940620266406,right,central,ACH,0.95,,,,,
aDT3,,VA1d_adPN,Fru,720575940622448589,right,central,ACH,0.96,,,,,
aDT3,,VA1d_adPN,Fru,720575940630547909,right,central,ACH,0.96,,,,,
aDT3,,VA1d_adPN,Fru,720575940625564676,right,central,ACH,0.95,,,,,
aDT3,,VA1v_adPN,Fru,720575940629733626,left,central,ACH,0.95,,,,,
aDT3,,VA1v_adPN,Fru,720575940629097922,left,central,ACH,0.96,,,,,
aDT3,,VA1v_adPN,Fru,720575940628283560,left,central,ACH,0.96,,,,,
aDT3,,VA1v_adPN,Fru,720575940620199962,left,central,ACH,0.95,,,,,
aDT3,,VA1v_adPN,Fru,720575940630989354,right,central,ACH,0.93,,,,,
aDT3,,VA1v_adPN,Fru,720575940625014928,right,central,ACH,0.95,,,,,
aDT3,,VA1v_adPN,Fru,720575940633165025,right,central,ACH,0.95,,,,,
aDT3,,VA1v_adPN,Fru,720575940623739076,right,central,ACH,0.93,,,,,
aDT3,,VA1v_adPN,Fru,720575940621696747,right,central,ACH,0.94,,,,,
aDT5a,aDT-g,CB3978,Fru,720575940621956869,left,central,GABA,0.74,fru-F-500156,Female,aDT5,,fru-F-500156
aDT5a,,CB3978,Fru,720575940631652433,left,central,,0,,,,,
aDT5a,,CB3978,Fru,720575940638870360,left,central,GABA,0.8,,,,,
aDT5a,,CB3978,Fru,720575940628647823,left,central,GABA,0.74,,,,,
aDT5a,,CB3978,Fru,720575940631473122,left,central,GABA,0.6,,,,,
aDT5a,,CB3978,Fru,720575940613458669,right,central,GABA,0.55,,,,,
aDT5a,,CB3978,Fru,720575940618254809,right,central,GABA,0.75,,,,,
aDT5a,,CB3978,Fru,720575940624105876,right,central,GABA,0.83,,,,,
aDT5a,,CB3978,Fru,720575940631857548,right,central,GABA,0.78,,,,,
aDT5a,,CB3978,Fru,720575940636063406,right,central,GABA,0.58,,,,,
aDT5a,,CL118,Fru,720575940610938902,left,central,GABA,0.53,,,,,
aDT5a,,CL118,Fru,720575940628719355,left,central,GABA,0.5,,,,,
aDT5a,,CL118,Fru,720575940632704173,right,central,GABA,0.52,,,,,
aDT5a,,CL118,Fru,720575940626033694,right,central,,0,,,,,
aDT5a,,CL118,Fru,720575940659613569,right,central,GABA,0.52,,,,,
aDT5a,,CL118,Fru,720575940616178026,right,central,,0,,,,,
aDT5a,,CL120a,Fru,720575940610140309,left,central,GABA,0.9,,,,,
aDT5a,,CL120a,Fru,720575940625453340,right,central,GABA,0.79,,,,,
aDT5a,,CL121_a,Fru,720575940618514555,left,central,,0,,,,,
aDT5a,,CL121_a,Fru,720575940611015958,left,central,GABA,0.65,,,,,
aDT5a,,CL121_a,Fru,720575940611172465,left,central,GABA,0.66,,,,,
aDT5a,,CL121_a,Fru,720575940622224553,left,central,GABA,0.83,,,,,
aDT5a,,CL121_a,Fru,720575940629684792,left,central,GABA,0.71,,,,,
aDT5a,,CL121_a,Fru,720575940625449530,right,central,GABA,0.58,,,,,
aDT5a,,CL121_a,Fru,720575940629106438,right,central,GABA,0.57,,,,,
aDT5a,,CL121_a,Fru,720575940628396090,right,central,GABA,0.85,,,,,
aDT5a,,CL121_a,Fru,720575940634261172,right,central,GABA,0.57,,,,,
aDT5a,,CL122_a,Fru,720575940623886266,left,central,GABA,0.86,,,,,
aDT5a,,CL122_a,Fru,720575940605648002,left,central,GABA,0.88,,,,,
aDT5a,,CL122_a,Fru,720575940607846083,left,central,GABA,0.86,,,,,
aDT5a,,CL122_a,Fru,720575940608212548,left,central,GABA,0.8,,,,,
aDT5a,,CL122_a,Fru,720575940618535303,left,central,GABA,0.88,,,,,
aDT5a,,CL122_a,Fru,720575940637836477,left,central,GABA,0.9,,,,,
aDT5a,,CL122_a,Fru,720575940639010392,right,central,GABA,0.89,,,,,
aDT5a,,CL122_a,Fru,720575940621347092,right,central,GABA,0.89,,,,,
aDT5a,,CL122_a,Fru,720575940621766035,right,central,GABA,0.86,,,,,
aDT5a,,CL122_a,Fru,720575940624421834,right,central,GABA,0.77,,,,,
aDT5a,,CL122_a,Fru,720575940639011160,right,central,GABA,0.88,,,,,
aDT5a,,CL122_a,Fru,720575940642878368,right,central,GABA,0.82,,,,,
aDT5a,,VES024a,Fru,720575940633202479,left,central,GABA,0.84,,,,,
aDT5a,,VES024a,Fru,720575940624725226,left,central,GABA,0.58,,,,,
aDT5a,,VES024a,Fru,720575940619718054,right,central,GABA,0.66,,,,,
aDT5a,,VES024a,Fru,720575940640521936,right,central,GABA,0.81,,,,,
aDT5b,aDT-g,CL120b,Fru,720575940609084718,left,central,GABA,0.88,fru-F-700000,Female,,,fru-F-700000
aDT5b,,CL120b,Fru,720575940616921300,left,central,GABA,0.88,,,,,
aDT5b,,CL120b,Fru,720575940622267350,right,central,GABA,0.82,,,,,
aDT5b,,CL120b,Fru,720575940615978902,right,central,GABA,0.88,,,,,
aDT5b,,VES022a,Fru,720575940611114262,left,central,GABA,0.74,,,,,
aDT5b,,VES022a,Fru,720575940624884112,left,central,GABA,0.67,,,,,
aDT5b,,VES022a,Fru,720575940638630366,left,central,GABA,0.83,,,,,
aDT5b,,VES022a,Fru,720575940611920365,right,central,GABA,0.87,,,,,
aDT5b,,VES022a,Fru,720575940638227253,right,central,GABA,0.8,,,,,
aDT5b,,VES022a,Fru,720575940631688955,right,central,GABA,0.79,,,,,
aDT5b,,VES022b,Fru,720575940611494629,left,central,GABA,0.75,,,,,
aDT5b,,VES022b,Fru,720575940623997879,left,central,GABA,0.8,,,,,
aDT5b,,VES022b,Fru,720575940627388047,right,central,GABA,0.79,,,,,
aDT5b,,VES022b,Fru,720575940640802675,right,central,GABA,0.82,,,,,
aDT6a,aDT-h,BiT,Fru,720575940632879842,left,central,SER,0.76,fru-F-000104,Female,"aDT6 (can't see the difference between 6a, 6b in the 2D image)",,fru-F-000104
aDT6a,,BiT,Fru,720575940635452570,right,central,SER,0.7,,,,,
aDT6a,,CB0015,Fru,720575940615792523,left,central,GLUT,0.62,,,,,
aDT6a,,CB0015,Fru,720575940644948771,right,central,GLUT,0.63,,,,,
aDT6a,,CB0575,Fru,720575940644053271,left,central,ACH,0.9,,,,,
aDT6a,,CB0575,Fru,720575940610916194,left,central,ACH,0.88,,,,,
aDT6a,,CB0575,Fru,720575940630329903,right,central,ACH,0.89,,,,,
aDT6a,,CB0575,Fru,720575940639420032,right,central,ACH,0.92,,,,,
aDT6a,,CB0772,Fru,720575940642715040,left,central,GLUT,0.63,,,,,
aDT6a,,CB0772,Fru,720575940610384281,right,central,GLUT,0.63,,,,,
aDT6a,,CB0960,Fru,720575940610179790,right,central,,0,,,,,
aDT6a,,CB1009,Fru,720575940620201084,left,central,ACH,0.75,,,,,
aDT6a,,CB1009,Fru,720575940626179658,right,central,ACH,0.72,,,,,
aDT6a,,CB1024,Fru,720575940644966452,left,central,ACH,0.48,,,,,
aDT6a,,CB1024,Fru,720575940629479276,left,central,ACH,0.57,,,,,
aDT6a,,CB1024,Fru,720575940613988242,left,central,ACH,0.64,,,,,
aDT6a,,CB1024,Fru,720575940634195039,right,central,ACH,0.61,,,,,
aDT6a,,CB1024,Fru,720575940617425947,right,central,ACH,0.5,,,,,
aDT6a,,CB1024,Fru,720575940609783598,right,central,ACH,0.51,,,,,
aDT6a,,CB1026,Fru,720575940613234591,left,central,ACH,0.6,,,,,
aDT6a,,CB1026,Fru,720575940625641196,right,central,ACH,0.64,,,,,"fru-F-700004, 500268, 000104, 500170, 400151"
aDT6a,,CB1537,Fru,720575940620874996,left,central,,0,,,,,
aDT6a,,CB1537,Fru,720575940626365958,left,central,SER,0.89,,,,,
aDT6a,,CB1537,Fru,720575940621579179,left,central,SER,1,,,,,
aDT6a,,CB1537,Fru,720575940629963779,left,central,SER,0.81,,,,,
aDT6a,,CB1537,Fru,720575940619413317,right,central,,0,,,,,
aDT6a,,CB1537,Fru,720575940633990039,right,central,,0,,,,,
aDT6a,,CB1537,Fru,720575940628914152,right,central,SER,1,,,,,
aDT6a,,CB1537,Fru,720575940636917737,right,central,,0,,,,,
aDT6a,,CB2636,Fru,720575940628750718,left,central,ACH,0.69,,,,,
aDT6a,,CB2636,Fru,720575940606550706,left,central,ACH,0.81,,,,,
aDT6a,,CB2636,Fru,720575940616987426,left,central,ACH,0.8,,,,,
aDT6a,,CB2636,Fru,720575940622602025,right,central,ACH,0.63,,,,,
