,label,synonym_1,synonym_2,synonym_3,hex,type
0,SLP_L,SLP_R,,,#ff9d5b,brain_region
1,SIP_L,SIP_R,,,#fead49,brain_region
2,SMP_L,SMP_R,,,#ffda59,brain_region
3,LH_L,LH_R,lateral_horn,,#6242dd,brain_region
4,MB_CA_L,MB_CA_R,mushroom_body_calyx,calyx,#40d3d3,brain_region
5,MB_PED_L,MB_PED_R,,,#0f99b3,brain_region
6,MB_VL_L,MB_VL_R,,,#1dc3b7,brain_region
7,MB_ML_L,MB_ML_R,,,#00d5bb,brain_region
8,AL_L,AL_R,antennal_lobe,antennal_lobes,#30d2fe,brain_region
9,CRE_L,CRE_R,,,#fed860,brain_region
10,SCL_L,SCL_R,,,#fdb95d,brain_region
11,ICL_L,ICL_R,,,#fbb256,brain_region
12,IB_L,IB_R,,,#fe9e3e,brain_region
13,ATL_L,ATL_R,,,#feef73,brain_region
14,AOTU_L,AOTU_R,,,#4c9efe,brain_region
15,AVLP_L,AVLP_R,,,#3d89fe,brain_region
16,PVLP_L,PVLP_R,,,#1a57ee,brain_region
17,PLP_L,PLP_R,,,#50bcfe,brain_region
18,WED_L,WED_R,,,#3b8dfe,brain_region
19,ME_L,ME_R,,,#dd41d3,brain_region
20,AME_L,AME_R,,,#bc21a2,brain_region
21,LO_L,LO_R,,,#8a34d4,brain_region
22,LOP_L,LOP_R,,,#bc21a2,brain_region
23,FB,,,,#08b4f0,brain_region
24,EB,,,,#067e94,brain_region
25,PB,,,,#42d3c2,brain_region
26,NO,,,,#2390c4,brain_region
27,BU_L,BU_R,,,#9b72ff,brain_region
28,GA,,,,#630aff,brain_region
29,LAL_L,LAL_R,,,#8a5cff,brain_region
30,VES_L,VES_R,,,#02dcc0,brain_region
31,EPA_L,EPA_R,,,#07c4ac,brain_region
32,GOR_L,GOR_R,,,#00b5d3,brain_region
33,SPS_L,SPS_R,,,#00957e,brain_region
34,IPS_L,IPS_R,,,#0dbfc2,brain_region
35,AMMC_L,AMMC_R,,,#145ddc,brain_region
36,FLA_L,FLA_R,,,#274bfe,brain_region
37,CAN_L,CAN_R,,,#2081f2,brain_region
38,PRW,,,,#513bfe,brain_region
39,SAD,,,,#543bfe,brain_region
40,GNG,,,,#603ee4,brain_region
41,Other,,,,#efefef,brain_region
42,aversion,aversive,aver,,#D72000,valence
43,attraction,app,appetitive,,#8FDA04,valence
44,LHON,,,,#54BCD1,neuron
45,LHN,,,,#8FDA04,neuron
46,LHLN,,,,#8FDA04,neuron
47,local_neuron,,,,#5CA700,neuron
48,axon2,,,,#F4B95A,compartment
49,axon,,,,#EF7C12,compartment
50,dendrite,,,,#54BCD1,compartment
51,primary_neurite,,,,#C70E7B,compartment
52,primary_dendrite,,,,#8FDA04,compartment
53,soma,,,,#C70E7B,compartment
54,KC,,,,#EFC7E6,neuron
55,DAN,,,,#EF7C12,neuron
56,LHCENT,centrifugal,,,#FF1493,class
57,PNs,,,,#d55e3a,neuron
58,uPN,,,,#FC5A50,neuron
59,biPN,,,,#1BB6AF,neuron
60,mPN,,,,#AF6125,neuron
61,ACh_uPN,,,,#EE4244,neuron
62,ACh_mPN,,,,#AF6125,neuron
63,GABA_uPN,,,,#ADD8E6,neuron
64,GABA_mPN,,,,#007BC3,neuron
65,DN,,,,#AF6125,neuron
66,ORN,ALRN,,,#F0E442,neuron
67,ipsilateral ORN,ipsilateral ALRN,,,#EBBF06,neuron
68,contralateral ORN,contralateral ALRN,,,#F8F097,neuron
69,mALT,,,,#D72000,tract
70,mlALT,,,,#1BB6AF,tract
71,lALT,,,,#31D64D,tract
72,tALT,,,,#F4B95A,tract
73,pre,,,,#D72000,synapse
74,post,,,,#132157,synapse
75,other,,,,#4D4D4D,misc
76,unknown,none,NA,unclear,#B3B3B3,misc
77,chosen,,,,#000000,misc
78,CA,,,,#FC6882,brain_region
79,MB,,,,#800080,brain_region
80,LH,,,,#8FDA04,brain_region
81,SEZ,,,,#009F3F,brain_region
82,AMMC,,,,#8b0000,brain_region
83,AL,,,,#F4B95A,brain_region
84,WED,,,,#132157,brain_region
85,LH_MB,,,,#B25D91,brain_region
86,olfaction,olfactory,,,#FBBB48,modality
87,vision,,,,#1BB6AF,modality
88,gustation,gustatory,,,#009F3F,modality
89,thermosensation,thermosensory,,,#000000,modality
90,mechanosensation,mechanosensory,,,#132157,modality
91,heating,,,,#D72000,valence
92,cooling,,,,#1BB6AF,valence
93,dry,,,,#F4E3C7,valence
94,humid,hygrosensory,hygrosensation,,#31D64D,valence
95,alcoholic_fermentation,,,,#013220,odour_scene
96,food,,,,#8FDA06,odour_scene
97,egg_laying,,,,#F4B95A,odour_scene
98,pheromones,,,,#EFC7E6,odour_scene
99,yeasty,,,,#8FDA06,odour_scene
100,fruity,,,,#31D64D,odour_scene
101,decaying_fruit,,,,#009F3F,odour_scene
102,dangerous,,,,#D72000,odour_scene
103,plant_matter,,,,#AF6125,odour_scene
104,animal_matter,,,,#F4E3C7,odour_scene
105,thermo_hygro,,,,#000000,odour_scene
106,BL,,,,#007BC3,lineage
107,BA,,,,#1BB6AF,lineage
108,DP,,,,#EF7C12,lineage
109,DA,,,,#F4B95A,lineage
110,CM,,,,#009F3F,lineage
111,CP,,,,#8FDA04,lineage
112,Hemibrain,hemibrain,,,#EF7C12,dataset
113,FIBSEM,fibsem,,,#EF7C12,dataset
114,FAFB,,,,#1BB6AF,dataset
115,FAFB.lineage,,,,#1BB6AF,dataset
116,FAFB.hemilineage,,,,#C70E7B,dataset
117,FIBSEM.lineage,,,,#EF7C12,dataset
118,FIBSEM.hemilineage,,,,#009F3F,dataset
119,WED-PN,,,,#132157,neuron
120,GNG-PN,,,,#009F3F,neuron
121,ChA,,,,#95A3CE,transmitter
122,Ach,ach,acetylcoline,acetylcholine,#95A3CE,transmitter
123,Vglut,glut,glutamate,,#86A859,transmitter
124,gaba,GABA,,,#D5A848,transmitter
125,serotonin,,,,#8C6295,transmitter
126,dopamine,,,,#B87969,transmitter
127,octopamine,,,,#725C98,transmitter
128,cell.type,,,,#4D4D4D,misc
129,output,,,,#D72000,connection
130,input,,,,#132157,connection
131,TON,,,,#D72000,neuron
132,TOON,,,,#D72000,neuron
133,TOLN,,,,#8b0000,neuron
134,mbon,,,,#800080,neuron
135,MBON,,,,#800080,neuron
136,ALPN,projection_neuron,antennal_lobe_projection_neuron,,#FBBB48,neuron
137,KCa'b',,,,#348E53,camtype
138,KCa'b'-a,,,,#348E53,camsubtype
139,KCa'b'-m,,,,#F0E442,camsubtype
140,KCa'b'-p,,,,#005E45,camsubtype
141,KCab-p,,,,#908827,camtype
142,KCab,,,,#A53600,camtype
143,KCab-c,,,,#A53600,camsubtype
144,KCab-m,,,,#F0E442,camsubtype
145,KCab-s,,,,#D55E00,camsubtype
146,KCg,,,,#B32DB5,camsubtype
147,KCg-t,,,,#CC79A7,camsubtype
148,KCg-s,,,,#0072B2,camtype
149,KCg-s1,,,,#0072B2,camsubtype
150,KCg-s2,,,,#053CFF,camsubtype
151,KCg-s3,,,,#B32DB5,camsubtype
152,KCg-s4,,,,#CC79A7,camsubtype
153,KCg-d,,,,#053CFF,camtype
154,KCg-d1,,,,#053CFF,camsubtype
155,KCg-d2,,,,#0072B2,camsubtype
156,KCg-d3,,,,#56B4E9,camsubtype
157,KCg-d4,,,,#A3CCE9,camsubtype
158,strong,,,,#000000,connection
159,medium,,,,#4D4D4D,connection
160,weak,,,,#B3B3B3,connection
161,ASCEND,,,,#FBBB48,class
162,CONTRA,,,,#FBBB48,class
163,CENT,,,,#FF1493,class
164,GNGPN,,,,#009F3F,class
165,VISPN,,,,#1BB6AF,dataset
166,WEDPN,,,,#132157,class
167,broad,,,,#0C60B2,spread
168,patchy,,,,#A1D8EB,spread
169,regional,,,,#B80068,spread
170,sparse,,,,#E7273E,spread
171,ivPN,,,,#C43B4C,lineage
172,il2PN,,,,#D28E53,lineage
173,adPN,,,,#EDE94A,lineage
174,spPN,,,,#B8D544,lineage
175,lvPN,,,,#96CA50,lineage
176,VUMa2,,,,#658E6E,lineage
177,smPN,,,,#B2DFEE,lineage
178,lPN,,,,#57BCD0,lineage
179,vPN,,,,#7672A5,lineage
180,ilPN,,,,#515791,lineage
181,lv2PN,,,,#202355,lineage
182,l2PN,,,,#B55D91,lineage
183,imPN,,,,#C8227B,lineage
184,1,,,,#F9F0D9,layer
185,2,,,,#F0DDBA,layer
186,3,,,,#F18A43,layer
187,4,,,,#C57C43,layer
188,5,,,,#9E4E1C,layer
189,6,,,,#73160D,layer
190,7,,,,#301404,layer
191,layer_1,,,,#F9F0D9,layer
192,layer_2,,,,#F0DDBA,layer
193,layer_3,,,,#F18A43,layer
194,layer_4,,,,#C57C43,layer
195,layer_5,,,,#9E4E1C,layer
196,layer_6,,,,#73160D,layer
197,layer_7,,,,#301404,layer
198,ascending,,,,#6EB6F6,super_class
199,sensory,,,,#44733B,super_class
200,descending,,,,#803D3D,super_class
201,endocrine,,,,#8973B2,super_class
202,motor,,,,#B48667,super_class
203,optic,,,,#F4D826,super_class
,visual_projection,,,,#e6a01e,super_class
,visual_centrifugal,,,,#acf02e,super_class
204,non_neuronal,not_a_neuron,,,#848484,super_class
205,central,,,,#F9574E,super_class
206,AN,antennal_nerve,,,#1ac938,nerve
207,LN,MxLbN,labial_nerve,maxillary_labial_nerve,#8b2be2,nerve
208,PN,pharyngeal_nerve,PhN,,#e8000b,nerve
209,aPN,accessory_pharyngeal_nerve,aPhN,labral_nerve,#023eff,nerve
210,NCC,,,,#9f4800,nerve
211,NC,CV,neck_connective,neck,#ff7c00,nerve
212,ON,occipital_nerve,,,#ff7c00,nerve
213,OCN,,,,#42eff5,nerve
