Root ID v783,DSX/Fru Type,FlyWire Cell Type,Super Class,Gene
720575940619517131,aDN,SMP029,central,Doublesex
720575940620158843,aDN,SMP029,central,Doublesex
720575940622252031,aDN,SMP029,central,Doublesex
720575940626465096,aDN,SMP029,central,Doublesex
720575940619453861,aDT10,AOTU042,central,Fruitless
720575940620664496,aDT10,AOTU042,central,Fruitless
720575940629957943,aDT10,AOTU042,central,Fruitless
720575940634743999,aDT10,AOTU042,central,Fruitless
720575940608341806,aDT11,VL2p_vPN,central,Fruitless
720575940612062426,aDT11,VL2a_vPN,central,Fruitless
720575940615322674,aDT11,VL2a_vPN,central,Fruitless
720575940626601994,aDT11,VL2a_vPN,central,Fruitless
720575940629947439,aDT11,VL2p_vPN,central,Fruitless
720575940632571583,aDT11,VL2a_vPN,central,Fruitless
720575940638583869,aDT11,VL2a_vPN,central,Fruitless
720575940603231916,aDT3,DA1_lPN,central,Fruitless
720575940604407468,aDT3,DA1_lPN,central,Fruitless
720575940605102694,aDT3,DA1_lPN,central,Fruitless
720575940613345442,aDT3,DA1_lPN,central,Fruitless
720575940614309535,aDT3,DA1_lPN,central,Fruitless
720575940617229632,aDT3,DA1_lPN,central,Fruitless
720575940619385765,aDT3,DA1_lPN,central,Fruitless
720575940620199962,aDT3,VA1v_adPN,central,Fruitless
720575940620266406,aDT3,VA1d_adPN,central,Fruitless
720575940621185050,aDT3,DA1_lPN,central,Fruitless
720575940621239679,aDT3,DA1_lPN,central,Fruitless
720575940621696747,aDT3,VA1v_adPN,central,Fruitless
720575940622448589,aDT3,VA1d_adPN,central,Fruitless
720575940622811430,aDT3,VA1d_adPN,central,Fruitless
720575940623303108,aDT3,DA1_lPN,central,Fruitless
720575940623543881,aDT3,DA1_lPN,central,Fruitless
720575940623739076,aDT3,VA1v_adPN,central,Fruitless
720575940625014928,aDT3,VA1v_adPN,central,Fruitless
720575940625564676,aDT3,VA1d_adPN,central,Fruitless
720575940626034819,aDT3,DA1_lPN,central,Fruitless
720575940628283560,aDT3,VA1v_adPN,central,Fruitless
720575940629097922,aDT3,VA1v_adPN,central,Fruitless
720575940629733626,aDT3,VA1v_adPN,central,Fruitless
720575940630066007,aDT3,DA1_lPN,central,Fruitless
720575940630547909,aDT3,VA1d_adPN,central,Fruitless
720575940630989354,aDT3,VA1v_adPN,central,Fruitless
720575940633165025,aDT3,VA1v_adPN,central,Fruitless
720575940637208718,aDT3,DA1_lPN,central,Fruitless
720575940637469254,aDT3,DA1_lPN,central,Fruitless
720575940640804853,aDT3,VA1d_adPN,central,Fruitless
720575940605648002,aDT5a,CL122_a,central,Fruitless
720575940607846083,aDT5a,CL122_a,central,Fruitless
720575940608212548,aDT5a,CL122_a,central,Fruitless
720575940610140309,aDT5a,CL120a,central,Fruitless
720575940610938902,aDT5a,CL118,central,Fruitless
